NAME,SSN,DOB,GENDER,ADDRESS,CITI,BANG,ZIP,Phone,country
ZACK LANGER,754241409,12091985,Male,3757 S RICHMOND AVE,TULSA,OK,74112,9183170528,US
SAVANNAH BROWN,854239935,02191991,Female,620 W MAIN ST,ANADARKO,OK,73005,9182249957,US
JAMES WILSON,195374811,09201978,Male,9295 S YALE AVE,OKLAHOMA CITY,OK,73102,9183667971,US
EMMA ANDERSON,833939928,07081992,Female,9754 W KANSAS AVE,NORMAN,OK,73069,9184333632,US
LIAM WHITE,106307924,06091982,Male,3627 E 21ST ST,BROKEN ARROW,OK,74012,9188404652,US
OLIVIA THOMPSON,444232519,07041989,Female,5735 N MAY AVE,TULSA,OK,74112,9187064421,US
NOAH ROBINSON,370158527,09041990,Male,1391 N PEORIA AVE,ANADARKO,OK,73005,9186630852,US
AVA SMITH,400906925,10072000,Female,1239 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9182384402,US
ELIJAH DAVIS,777395741,02281985,Male,1754 S MEMORIAL DR,NORMAN,OK,73069,9185188729,US
MIA MOORE,384686977,03121989,Female,3532 E 71ST ST,BROKEN ARROW,OK,74012,9187621836,US
LUCAS THOMAS,373992169,10211983,Male,8851 S RICHMOND AVE,TULSA,OK,74112,9188116358,US
AMELIA HARRIS,350308573,07091998,Female,9225 W MAIN ST,ANADARKO,OK,73005,9183842265,US
ETHAN GARCIA,801511916,04271979,Male,5268 S YALE AVE,OKLAHOMA CITY,OK,73102,9185365214,US
HARPER CLARK,374184456,10231988,Female,3583 W KANSAS AVE,NORMAN,OK,73069,9187498218,US
MASON JOHNSON,611608517,03091982,Male,4140 E 21ST ST,BROKEN ARROW,OK,74012,9188249420,US
EVELYN MILLER,674785304,12191991,Female,9660 N MAY AVE,TULSA,OK,74112,9185350414,US
LOGAN TAYLOR,470383266,09161980,Male,871 N PEORIA AVE,ANADARKO,OK,73005,9189223454,US
ABIGAIL JACKSON,212293621,11141997,Female,1140 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9185227662,US
AIDEN MARTIN,490868668,09091995,Male,288 S MEMORIAL DR,NORMAN,OK,73069,9187706630,US
ELLA MARTINEZ,838249797,05251998,Female,5673 E 71ST ST,BROKEN ARROW,OK,74012,9182935767,US
ZACK LANGER,400653591,08012001,Male,4415 S RICHMOND AVE,TULSA,OK,74112,9186199220,US
SAVANNAH BROWN,880329317,02281998,Female,4989 W MAIN ST,ANADARKO,OK,73005,9189060434,US
JAMES WILSON,754744258,03122002,Male,2746 S YALE AVE,OKLAHOMA CITY,OK,73102,9186524639,US
EMMA ANDERSON,897771009,10111993,Female,419 W KANSAS AVE,NORMAN,OK,73069,9182938414,US
LIAM WHITE,471494923,01081996,Male,1390 E 21ST ST,BROKEN ARROW,OK,74012,9182718513,US
OLIVIA THOMPSON,849722133,09251982,Female,2203 N MAY AVE,TULSA,OK,74112,9187534391,US
NOAH ROBINSON,586803705,05171997,Male,7032 N PEORIA AVE,ANADARKO,OK,73005,9183776692,US
AVA SMITH,652984295,12101990,Female,6218 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9185675049,US
ELIJAH DAVIS,629672982,04081980,Male,5639 S MEMORIAL DR,NORMAN,OK,73069,9182176448,US
MIA MOORE,702804770,10081978,Female,1263 E 71ST ST,BROKEN ARROW,OK,74012,9187937800,US
LUCAS THOMAS,746174750,02021988,Male,1260 S RICHMOND AVE,TULSA,OK,74112,9186313054,US
AMELIA HARRIS,343458953,04181982,Female,9455 W MAIN ST,ANADARKO,OK,73005,9186833613,US
ETHAN GARCIA,584418749,07071981,Male,1688 S YALE AVE,OKLAHOMA CITY,OK,73102,9187527947,US
HARPER CLARK,541557939,07152001,Female,987 W KANSAS AVE,NORMAN,OK,73069,9187648591,US
MASON JOHNSON,769922612,01132001,Male,5659 E 21ST ST,BROKEN ARROW,OK,74012,9188715856,US
EVELYN MILLER,211414139,04181992,Female,2396 N MAY AVE,TULSA,OK,74112,9185538999,US
LOGAN TAYLOR,287458579,04281980,Male,7360 N PEORIA AVE,ANADARKO,OK,73005,9188778181,US
ABIGAIL JACKSON,663221828,11181978,Female,1628 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9189770929,US
AIDEN MARTIN,871403724,07161993,Male,3602 S MEMORIAL DR,NORMAN,OK,73069,9189253213,US
ELLA MARTINEZ,510173697,07011990,Female,4445 E 71ST ST,BROKEN ARROW,OK,74012,9189772196,US
ZACK LANGER,565467930,12241995,Male,8073 S RICHMOND AVE,TULSA,OK,74112,9183298529,US
SAVANNAH BROWN,294474566,01192001,Female,8983 W MAIN ST,ANADARKO,OK,73005,9182511349,US
JAMES WILSON,865501936,01191993,Male,8338 S YALE AVE,OKLAHOMA CITY,OK,73102,9189712378,US
EMMA ANDERSON,643301931,09031983,Female,1222 W KANSAS AVE,NORMAN,OK,73069,9186991516,US
LIAM WHITE,169964853,07041996,Male,4133 E 21ST ST,BROKEN ARROW,OK,74012,9186856325,US
OLIVIA THOMPSON,708152343,07221996,Female,9360 N MAY AVE,TULSA,OK,74112,9186385419,US
NOAH ROBINSON,423434346,11231988,Male,4010 N PEORIA AVE,ANADARKO,OK,73005,9184228136,US
AVA SMITH,505265915,08112002,Female,1288 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9182078143,US
ELIJAH DAVIS,569892638,02181984,Male,8388 S MEMORIAL DR,NORMAN,OK,73069,9184224662,US
MIA MOORE,235542127,04121987,Female,2684 E 71ST ST,BROKEN ARROW,OK,74012,9185675758,US
LUCAS THOMAS,656489666,01221995,Male,5005 S RICHMOND AVE,TULSA,OK,74112,9189816136,US
AMELIA HARRIS,779233200,05041981,Female,9164 W MAIN ST,ANADARKO,OK,73005,9183303991,US
ETHAN GARCIA,378464450,12111984,Male,4425 S YALE AVE,OKLAHOMA CITY,OK,73102,9186239678,US
HARPER CLARK,600421832,02211991,Female,4633 W KANSAS AVE,NORMAN,OK,73069,9182369826,US
MASON JOHNSON,103523143,11091983,Male,7339 E 21ST ST,BROKEN ARROW,OK,74012,9186627830,US
EVELYN MILLER,822641158,02032000,Female,2542 N MAY AVE,TULSA,OK,74112,9186576743,US
LOGAN TAYLOR,136573426,07051979,Male,5150 N PEORIA AVE,ANADARKO,OK,73005,9185058918,US
ABIGAIL JACKSON,140554441,11081999,Female,1784 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9184966871,US
AIDEN MARTIN,898817658,10241982,Male,3978 S MEMORIAL DR,NORMAN,OK,73069,9189252838,US
ELLA MARTINEZ,266327755,01062001,Female,5542 E 71ST ST,BROKEN ARROW,OK,74012,9188563133,US
ZACK LANGER,521955065,05062000,Male,1871 S RICHMOND AVE,TULSA,OK,74112,9185208992,US
SAVANNAH BROWN,139704644,04271992,Female,5828 W MAIN ST,ANADARKO,OK,73005,9184560126,US
JAMES WILSON,333381387,11071990,Male,5478 S YALE AVE,OKLAHOMA CITY,OK,73102,9184337091,US
EMMA ANDERSON,171456753,11171990,Female,8885 W KANSAS AVE,NORMAN,OK,73069,9184777886,US
LIAM WHITE,128245279,03191986,Male,726 E 21ST ST,BROKEN ARROW,OK,74012,9182909346,US
OLIVIA THOMPSON,710656663,12261988,Female,7249 N MAY AVE,TULSA,OK,74112,9187085248,US
NOAH ROBINSON,623247311,10071986,Male,827 N PEORIA AVE,ANADARKO,OK,73005,9187945721,US
AVA SMITH,546109518,09222001,Female,3328 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9185055311,US
ELIJAH DAVIS,541186409,10111999,Male,2141 S MEMORIAL DR,NORMAN,OK,73069,9188037736,US
MIA MOORE,407746067,11141988,Female,6692 E 71ST ST,BROKEN ARROW,OK,74012,9187848608,US
LUCAS THOMAS,402803085,04141999,Male,6311 S RICHMOND AVE,TULSA,OK,74112,9187681754,US
AMELIA HARRIS,866325930,07181978,Female,5078 W MAIN ST,ANADARKO,OK,73005,9184406806,US
ETHAN GARCIA,315656279,08151992,Male,3601 S YALE AVE,OKLAHOMA CITY,OK,73102,9186288038,US
HARPER CLARK,584312389,05171999,Female,5591 W KANSAS AVE,NORMAN,OK,73069,9182783388,US
MASON JOHNSON,869406085,04261984,Male,2514 E 21ST ST,BROKEN ARROW,OK,74012,9182204895,US
EVELYN MILLER,147418784,10282002,Female,1293 N MAY AVE,TULSA,OK,74112,9185820307,US
LOGAN TAYLOR,524904185,12231990,Male,8199 N PEORIA AVE,ANADARKO,OK,73005,9185352531,US
ABIGAIL JACKSON,349281090,02251991,Female,3685 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9183475444,US
AIDEN MARTIN,812768611,01181985,Male,2088 S MEMORIAL DR,NORMAN,OK,73069,9185829079,US
ELLA MARTINEZ,236699702,09201988,Female,7351 E 71ST ST,BROKEN ARROW,OK,74012,9187139300,US
ZACK LANGER,836747991,09151983,Male,7877 S RICHMOND AVE,TULSA,OK,74112,9185775458,US
SAVANNAH BROWN,365415543,09161998,Female,4019 W MAIN ST,ANADARKO,OK,73005,9184303490,US
JAMES WILSON,550195681,04091988,Male,5338 S YALE AVE,OKLAHOMA CITY,OK,73102,9189491252,US
EMMA ANDERSON,653203267,03081990,Female,2603 W KANSAS AVE,NORMAN,OK,73069,9187925873,US
LIAM WHITE,319187797,07111995,Male,7733 E 21ST ST,BROKEN ARROW,OK,74012,9185487767,US
OLIVIA THOMPSON,163367883,07251996,Female,420 N MAY AVE,TULSA,OK,74112,9189186789,US
NOAH ROBINSON,883837232,08011989,Male,4992 N PEORIA AVE,ANADARKO,OK,73005,9188320607,US
AVA SMITH,499639818,12241995,Female,9983 S HARVARD AVE,OKLAHOMA CITY,OK,73102,9189531387,US
ELIJAH DAVIS,325724595,05141993,Male,575 S MEMORIAL DR,NORMAN,OK,73069,9185261970,US
MIA MOORE,444957624,12061992,Female,2191 E 71ST ST,BROKEN ARROW,OK,74012,9187219869,US
LUCAS THOMAS,646137455,10191999,Male,544 S RICHMOND AVE,TULSA,OK,74112,9182704202,US
AMELIA HARRIS,758643223,08061979,Female,4362 W MAIN ST,ANADARKO,OK,73005,9185180153,US
